loc_x,eminox,emivoc
1007.0,3.318212583333333e-11,1.6378041316666666e-10
1009.0,3.2150009865e-11,2.327647447e-10
1011.0,2.5051817841666667e-11,1.0615593963333333e-10
1013.0,1.1423132565e-11,3.898032633333333e-11
1015.0,7.147778391666667e-12,3.62485793e-11
1017.0,1.1688293650000001e-12,1.2630053050000001e-11
1019.0,2.9136640750000003e-12,1.632775289e-12
1021.0,1.494148045e-12,1.0773353828333333e-13
1023.0,7.37917937e-13,8.003516443333333e-14
1025.0,4.613985181666667e-13,1.1379137896666667e-13
1027.0,1.045837235e-12,2.3710369633333335e-13
1029.0,1.2051246233333333e-12,2.44973747e-13
1031.0,3.325450908333333e-13,1.5652111118833332e-11
1033.0,3.435957578333333e-12,3.3200872595e-11
1035.0,2.077642395e-11,5.490090866833333e-11
1043.0,2.2722563516666668e-11,9.301918625833334e-11
1045.0,2.56209339e-11,7.325796794166666e-11
1047.0,3.5067840383333334e-11,3.6663850116666664e-11
1049.0,7.425465456666667e-11,3.049275985e-11
3007.0,5.556657895e-11,1.8651347616666666e-10
3009.0,3.0208640966666666e-11,1.929645326e-10
3011.0,2.6726414316666667e-11,6.311897593333333e-11
3013.0,1.4541799865e-11,4.840382681666667e-11
3015.0,8.013521231666666e-12,2.809530894166667e-11
3017.0,6.742372586666666e-13,6.757601891666667e-12
3019.0,1.4248365616666667e-12,3.2734123916666665e-13
3021.0,9.472590128333334e-13,2.0247797424999998e-13
3023.0,5.142673835e-13,3.7849562873333333e-13
3025.0,4.3745056983333336e-13,1.2374964583333332e-12
3027.0,8.101155816666666e-13,1.7423947699999998e-13
3029.0,1.0435259783333333e-12,6.731376876666667e-13
3031.0,1.1106162716666667e-12,7.439302722e-12
3033.0,4.878829036666667e-12,1.8815438525000002e-11
3035.0,1.7103561983333334e-11,6.223174451333333e-11
3043.0,2.90054992e-11,9.468394540999999e-11
3045.0,2.996128576666667e-11,9.29971726e-11
3047.0,3.3400447366666665e-11,5.4392058099999995e-11
3049.0,9.662283291666666e-11,4.5275098266666665e-11
3051.0,1.1412871293333334e-10,3.166627511666667e-11
5007.0,3.895917206666667e-11,2.945279535e-10
5009.0,3.786997353333334e-11,2.14648846e-10
5011.0,2.772889775e-11,7.568845646666667e-11
5013.0,2.137795788333333e-11,5.780353061666666e-11
5015.0,9.529409701666666e-12,3.274714870833333e-11
5017.0,1.3791013798333335e-12,1.4578239818333332e-11
5019.0,6.220500508333334e-13,1.4299704276666666e-13
5021.0,6.872636306666666e-13,7.935275264e-13
5023.0,1.36994615e-12,3.925696428166666e-12
5025.0,1.0851601383333334e-12,2.5498359483333333e-12
5027.0,3.3387916816666663e-13,1.1170139353333333e-13
5029.0,4.735562535e-13,3.6090292483333336e-12
5031.0,1.09247315e-12,3.5725512933333335e-12
5033.0,3.360797045e-12,1.4242871335000001e-11
5035.0,2.2733137266666667e-11,4.5107502708333337e-11
5045.0,4.441216005e-11,1.1576721596666666e-10
5047.0,3.64224915e-11,8.514845035166667e-11
5049.0,5.0038860666666664e-11,4.7960918268333334e-11
5051.0,1.91229169e-10,6.595051651666667e-11
7005.0,3.496256833333334e-11,4.646992311666667e-10
7007.0,4.1111980999999994e-11,3.757561188333333e-10
7009.0,3.218553246666667e-11,2.329259823666667e-10
7011.0,2.9561649166666665e-11,1.1468145513333333e-10
7013.0,2.2158755549999998e-11,7.40877807e-11
7015.0,9.935612886666665e-12,3.525382278333333e-11
7017.0,3.206243243333333e-12,9.193674088333334e-12
7019.0,5.415182686666666e-13,4.782009548333333e-13
7021.0,3.153341083333333e-13,6.05783393e-14
7023.0,1.0715467128333333e-12,3.940661300666667e-12
7025.0,1.1358050941666668e-12,4.2300680398333333e-13
7027.0,5.420543091666666e-13,8.06230341e-13
7029.0,1.904768375e-12,8.7641453e-12
7031.0,2.13759595e-12,1.7258253793333335e-11
7033.0,2.6179615333333333e-12,2.7256533256666667e-11
7035.0,1.5869617783333333e-11,3.946383098666667e-11
7045.0,4.1822858233333336e-11,1.4945210338333332e-10
7047.0,4.345358006666667e-11,9.714386685e-11
7049.0,9.819871025e-11,7.889405211666666e-11
7051.0,1.69367036e-10,7.481604946666667e-11
7053.0,1.2170307068333334e-10,3.01339536e-11
7059.0,1.5898080725e-11,6.561702642833333e-11
7061.0,7.304903856666667e-12,5.367070834833333e-11
8999.0,3.993105888333333e-12,2.5690634183333336e-10
9005.0,2.0095771783333334e-11,4.985578671666666e-10
9007.0,3.468995125e-11,4.805773671666667e-10
9009.0,3.0523798233333334e-11,2.6578495866666665e-10
9011.0,3.349809505e-11,1.518688938e-10
9013.0,2.6183948783333334e-11,8.746404508333334e-11
9015.0,6.869187675e-12,2.5058334991666666e-11
9017.0,4.218183796666666e-12,9.553786815e-13
9019.0,3.753672903333333e-13,4.172172858333333e-13
9021.0,7.444686018333334e-14,5.412902448333333e-14
9023.0,1.8344795066666667e-13,7.69053283e-15
9025.0,1.124346135e-12,1.7312820066666667e-13
9027.0,6.746801556666667e-13,1.6657984783333333e-12
9029.0,1.6424532933333332e-12,9.18253625e-12
9031.0,1.9857368016666665e-12,1.72000732e-11
9033.0,3.0036652183333333e-12,2.7106514498333333e-11
9035.0,1.3346257649999999e-11,4.755738370833333e-11
9037.0,3.203103378333333e-11,6.770865673333333e-11
9039.0,1.6161984725e-11,2.1179922478333334e-11
9041.0,1.5579066458333333e-11,3.3931234271666664e-11
9045.0,7.73902421e-11,1.0160226696666666e-10
9047.0,4.028604808333333e-11,1.0236949738333334e-10
9049.0,8.416155033333333e-11,8.850839748333334e-11
9051.0,9.014401411666667e-11,6.4056427795e-11
