budgets,NA_ann,NA_JJA,NA_DJF,SA_ann,SA_JJA,SA_DJF,EU_ann,EU_JJA,EU_DJF,AF_ann,AF_JJA,AF_DJF,AS_ann,AS_JJA,AS_DJF,OC_ann,OC_JJA,OC_DJF,y1850,y1850_JJA,y1850_DJF,y2014,y2014_JJA,y2014_DJF,y2100_ssp126,y2100_ssp126_JJA,y2100_ssp126_DJF,y2100_ssp370,y2100_ssp370_JJA,y2100_ssp370_DJF
Pt1,0.506 ,0.344 ,0.646 ,0.150 ,0.178 ,0.108 ,0.538 ,0.320 ,0.750 ,0.441 ,0.463 ,0.440 ,0.395 ,0.464 ,0.327 ,0.394 ,0.463 ,0.326 ,0.369 ,0.266 ,0.459 ,0.473 ,0.348 ,0.581 ,0.340 ,0.247 ,0.449 ,0.411 ,0.311 ,0.511 
Pt2,0.154 ,0.118 ,0.181 ,0.036 ,0.039 ,0.028 ,0.116 ,0.083 ,0.132 ,0.160 ,0.173 ,0.142 ,0.147 ,0.176 ,0.128 ,0.151 ,0.180 ,0.131 ,0.111 ,0.072 ,0.159 ,0.126 ,0.109 ,0.128 ,0.130 ,0.086 ,0.173 ,0.169 ,0.130 ,0.198 
Pt3,0.340 ,0.538 ,0.173 ,0.814 ,0.783 ,0.864 ,0.346 ,0.597 ,0.118 ,0.399 ,0.363 ,0.418 ,0.458 ,0.360 ,0.545 ,0.454 ,0.356 ,0.542 ,0.520 ,0.662 ,0.382 ,0.402 ,0.542 ,0.290 ,0.530 ,0.667 ,0.378 ,0.419 ,0.559 ,0.291 
