longitude,latitude,o3prod_mole_stacked,o3loss_mole_stacked
5.0,-89.0,19074.017838322285,23273.4245532651
5.0,-87.0,20116.665224188233,24973.02031997943
5.0,-85.0,21571.762822416433,27705.191238188254
5.0,-83.0,23457.482235508196,30864.522974346466
5.0,-81.0,26104.518085589865,35543.96619781639
5.0,-79.0,28195.203045245125,39180.6367288933
5.0,-77.0,29442.82461559416,41563.40057237709
5.0,-75.0,30447.826004941075,46601.14120017172
5.0,-73.0,33208.718905527814,57757.55890200638
5.0,-71.0,47657.25283017187,76013.62124367905
5.0,-69.0,142287.90762669625,89777.7533137285
5.0,-67.0,105971.1348583302,98725.7409346641
5.0,-65.0,78773.54666598521,101438.01806403001
5.0,-63.0,66738.26365091436,101134.38053871169
5.0,-61.0,69278.07484661102,97268.04494741514
5.0,-59.0,46637.96088961521,88306.6440213031
5.0,-57.0,37144.10662319846,78550.25467979116
5.0,-55.0,45993.42005209813,79972.73697706842
5.0,-53.0,54801.4457617083,90106.675712547
5.0,-51.0,51921.24707335982,103705.4328925302
5.0,-49.0,44892.83872908615,121468.35133351148
5.0,-47.0,50645.76117465556,147050.29333027394
5.0,-45.0,62890.7424599691,178197.44483775983
5.0,-43.0,88131.03462781008,219194.30674719156
5.0,-41.0,116415.44506943763,270734.977635213
5.0,-39.0,208960.53259457494,336325.1805550138
5.0,-37.0,579837.2070968759,404156.03469193424
5.0,-35.0,476588.286728569,470801.00128033775
5.0,-33.0,496698.89187702443,536265.8551013462
5.0,-31.0,462363.15562435985,601048.382673266
5.0,-29.0,555963.1148659441,670334.8307287724
5.0,-27.0,780568.0088479026,745905.6926667213
5.0,-25.0,602508.254102893,816642.4080689849
5.0,-23.0,552451.4467579161,888091.1428476612
5.0,-21.0,807402.478782143,999210.7600921766
5.0,-19.0,1335486.3518571241,1110466.4129529255
5.0,-17.0,1223041.7241183384,1250550.7203791293
5.0,-15.0,606238.4931104655,1345567.5066860293
5.0,-13.0,409449.8134113574,1400626.5077267073
5.0,-11.0,409246.923411211,1487796.130662923
5.0,-9.0,423553.62051000405,1594014.4000531242
5.0,-7.0,475121.3832151463,1718257.3897234516
5.0,-5.0,600037.3918316697,1837212.6125165275
5.0,-3.0,925689.0269359025,1942509.6861163499
5.0,-1.0,989956.3418511202,2003757.7227494265
5.0,1.0,1122906.8256799506,2054667.621857204
5.0,3.0,1988011.6237027585,2076962.1424739556
5.0,5.0,8006455.332618744,1704247.02400697
5.0,7.0,13284065.457523147,1707821.8414827606
5.0,9.0,12448826.485149078,1651188.4934108548
5.0,11.0,8577918.328883972,1803264.648564733
5.0,13.0,7540558.327621469,1871352.8369207967
5.0,15.0,5097994.675282002,1663765.8230493553
5.0,17.0,2498564.2465652484,1608853.9397466674
5.0,19.0,1498339.6024240328,1457288.5635036654
5.0,21.0,1578889.8705826614,1375186.8544751154
5.0,23.0,1928652.6301823787,1120816.388112626
5.0,25.0,1677624.3335821328,1078671.389540616
5.0,27.0,965847.2564930458,1195617.0812739974
5.0,29.0,1397684.566206097,1367443.4422219112
5.0,31.0,2151687.5593734793,1394246.0993163264
5.0,33.0,3584271.01602522,1194353.6124641818
5.0,35.0,4806520.280978559,856623.7669368343
5.0,37.0,5341533.661951046,811589.9392406935
5.0,39.0,3101626.6406224174,1181922.6467057082
5.0,41.0,3262542.25352004,1061667.8213606502
5.0,43.0,3584426.712392239,710493.5058166535
5.0,45.0,6486598.500152646,507893.5838284914
5.0,47.0,5862991.896515791,459056.3091785991
5.0,49.0,3815781.797881675,402164.6950938711
5.0,51.0,2793489.9716835385,283377.9902202921
5.0,53.0,1367275.853431582,256569.71273756176
5.0,55.0,1159104.0615267237,243804.48143530797
5.0,57.0,1075734.1796454764,217537.53064722376
5.0,59.0,1437884.0947837145,199420.38379021993
5.0,61.0,1382099.4362769558,163781.74779661384
5.0,63.0,943296.9461090261,169247.2850383246
5.0,65.0,662490.864345725,132963.11906558054
5.0,67.0,481440.87893389165,120403.45362942676
5.0,69.0,309249.33527686814,126977.85250238026
5.0,71.0,234387.86644256854,115152.73645142347
5.0,73.0,178371.79977318915,102080.15102838562
5.0,75.0,122953.77899635157,91108.96060958007
5.0,77.0,107585.73501669563,81115.90601045833
5.0,79.0,329876.79293670284,69769.40293429713
5.0,81.0,234434.21168910543,88184.38033539499
5.0,83.0,115154.40821919846,90820.86337191302
5.0,85.0,123004.41970519561,84824.46290848638
5.0,87.0,97359.95047180764,82128.78018300248
5.0,89.0,141324.7838326141,75644.59851243909
7.0,-89.0,19079.867287623583,23251.556494397486
7.0,-87.0,20141.033922027,24905.60947390138
7.0,-85.0,21558.36667967221,27450.865111014456
7.0,-83.0,23611.73178047436,30691.076028169617
7.0,-81.0,25955.276391855034,34918.328925721486
7.0,-79.0,28082.120638027904,38465.569715592566
7.0,-77.0,29190.096556436536,40688.52808137386
7.0,-75.0,29971.311722199447,45509.04850395899
7.0,-73.0,32243.32601913511,56110.51186088621
7.0,-71.0,52319.082236441485,76282.34145864053
7.0,-69.0,136142.37607280488,88539.455630542
7.0,-67.0,96454.33085944277,97835.21898702934
7.0,-65.0,71453.99407394527,99856.30201102447
7.0,-63.0,53527.63166174847,99409.43290283487
7.0,-61.0,50061.22315121733,95111.45127112289
7.0,-59.0,44813.69323853755,87820.5388667558
7.0,-57.0,37154.43729944457,78474.45998630735
7.0,-55.0,37761.86408039228,78337.71925958493
7.0,-53.0,42497.43862653538,88586.31579468904
7.0,-51.0,49399.22979632707,103032.33133786154
7.0,-49.0,54352.06221958706,122967.04251002405
7.0,-47.0,52910.56405038457,146902.5934346944
7.0,-45.0,62377.610656024975,177258.6637489156
7.0,-43.0,87054.72146970856,218527.03258685788
7.0,-41.0,126100.09101932614,272960.43895720714
7.0,-39.0,213726.85770023282,337673.4636288963
7.0,-37.0,548640.9517969126,407044.9270676988
7.0,-35.0,501900.5298346173,476342.9339246556
7.0,-33.0,557185.4005809916,546543.8952573546
7.0,-31.0,512759.0048296012,617137.3462478734
7.0,-29.0,747318.0482208343,691672.5516139411
7.0,-27.0,730669.4701088002,775591.02039494
7.0,-25.0,673821.0114298811,855581.2011807445
7.0,-23.0,959025.927950059,953701.5672624748
7.0,-21.0,1313619.6770271852,1063556.8748751977
7.0,-19.0,1027885.1066774201,1203327.0144467866
7.0,-17.0,596705.1212269797,1298266.845707901
7.0,-15.0,472239.8230637021,1374154.9250031018
7.0,-13.0,427196.80339627207,1454781.3529672094
7.0,-11.0,454387.2380013374,1550990.423335535
7.0,-9.0,478420.16239696025,1658444.7919474582
7.0,-7.0,589534.499361068,1783985.8252072155
7.0,-5.0,831577.9293615513,1920158.3179994982
7.0,-3.0,1086496.9905465029,2023914.5617657944
7.0,-1.0,1517332.0765520027,2015509.3968044375
7.0,1.0,1740376.4470310116,2106095.5722996686
7.0,3.0,2409121.2862537648,2121736.781225973
7.0,5.0,17953190.21146724,2029803.861370255
7.0,7.0,19731342.3640805,1939783.846439339
7.0,9.0,14255236.729975391,1686128.094768427
7.0,11.0,10064107.644434925,1727722.7411175084
7.0,13.0,7849673.172948201,1845198.0445722102
7.0,15.0,5263107.9944896875,1664013.976955274
7.0,17.0,3258838.9809969054,1458914.7395161428
7.0,19.0,1350646.9051136996,1388386.4098242882
7.0,21.0,1111649.7593802325,1436638.7568352267
7.0,23.0,1855681.5550189398,1232561.8620769498
7.0,25.0,1720087.521548864,1116144.108893055
7.0,27.0,1184902.687029664,1224585.7923668476
7.0,29.0,2565559.9862742494,1373658.577477523
7.0,31.0,3011139.155343157,1385592.6263716288
7.0,33.0,3721836.4697822155,1256261.1224116709
7.0,35.0,4658530.003215374,912741.3994239415
7.0,37.0,5964522.077521721,771143.5955580348
7.0,39.0,3532848.9318393217,1094985.6418091557
7.0,41.0,3572667.051751801,996486.1351522618
7.0,43.0,3951512.376473643,823481.2409203736
7.0,45.0,6366979.421536046,509095.94294426346
7.0,47.0,6027487.550391034,465665.3166652899
7.0,49.0,4587020.061800683,365676.5832427273
7.0,51.0,2917972.1707966262,288143.54707110976
7.0,53.0,1803400.9518998761,254708.20452200138
7.0,55.0,1164959.812432205,223809.0805902697
7.0,57.0,1543367.2384556164,244828.11144623868
7.0,59.0,1719124.2637027758,191991.5255587684
7.0,61.0,1289939.3026854822,156931.59817675932
7.0,63.0,1384272.8947640366,166170.00713590457
7.0,65.0,678424.9101245163,113516.9288270114
7.0,67.0,526161.1549966175,104756.4274760176
7.0,69.0,335121.3864428337,126172.11225904651
7.0,71.0,253814.333931727,114851.99412165649
7.0,73.0,213555.3632039208,97036.29916562434
7.0,75.0,136561.7671417796,89246.39186374674
7.0,77.0,121433.25207436344,81027.44905393044
7.0,79.0,240977.83957947444,78493.78111536725
7.0,81.0,176192.06260143843,93597.59999130222
7.0,83.0,113321.1905092115,90468.62799595507
7.0,85.0,119711.02850065948,84804.79682389168
7.0,87.0,96602.48057920433,82284.83965263932
7.0,89.0,115298.88976528037,79017.91399010913
9.0,-89.0,19089.40896987578,23235.763833661465
9.0,-87.0,20166.53559122373,24844.823875920156
9.0,-85.0,21569.79763324335,27229.471860511887
9.0,-83.0,23636.18969165235,30398.766653719707
9.0,-81.0,25915.892137184026,34437.97080176408
9.0,-79.0,27974.359578131644,37819.16207569956
9.0,-77.0,28644.2582042929,39587.15552116836
9.0,-75.0,29644.143981121997,44647.3489129171
9.0,-73.0,31592.929078525343,54738.79336868811
9.0,-71.0,75890.7907938857,77687.40470414911
9.0,-69.0,159862.69656384081,87328.59033726624
9.0,-67.0,94009.42858346844,97616.97635507342
9.0,-65.0,69637.23802411123,98735.44330340625
9.0,-63.0,55969.50767748836,99198.00892657774
9.0,-61.0,44268.287762850036,93720.17187337183
9.0,-59.0,38852.571457220954,86335.9025976024
9.0,-57.0,35037.74915930649,77680.75472073823
9.0,-55.0,37962.807835940745,77732.59983202054
9.0,-53.0,37796.156648045544,87133.32520739362
9.0,-51.0,38549.981994406815,100730.56367178794
9.0,-49.0,50528.76383130828,122079.67593031717
9.0,-47.0,56840.75746092554,146791.28340189156
9.0,-45.0,63508.03020162927,177037.66594305277
9.0,-43.0,82372.63652364258,217913.93252301667
9.0,-41.0,149093.23115503654,276505.7225152971
9.0,-39.0,210006.9160426957,339013.3939372175
9.0,-37.0,512370.90074540855,409557.16400328104
9.0,-35.0,528690.5524924924,485325.30301559775
9.0,-33.0,603578.3819756029,561421.1877140565
9.0,-31.0,681943.1288157037,639905.4243855904
9.0,-29.0,894106.4617446625,724985.727971689
9.0,-27.0,868750.8037523867,820784.7945181403
9.0,-25.0,1161891.9828027033,916476.3644493001
9.0,-23.0,1422714.037173746,1029708.4330302016
9.0,-21.0,996116.4872348496,1161715.8523985257
9.0,-19.0,689496.2300857609,1277540.893338247
9.0,-17.0,695270.6465606045,1383981.7583930292
9.0,-15.0,650854.413878748,1475652.564319262
9.0,-13.0,622058.4629188149,1561341.277978354
9.0,-11.0,646104.8773343173,1657741.2544932752
9.0,-9.0,673214.7851969545,1763440.2183294941
9.0,-7.0,788679.8664206166,1874910.7713146522
9.0,-5.0,1170917.5829488726,1990235.1405197193
9.0,-3.0,3149201.1995784775,2022508.4083994974
9.0,-1.0,8177357.741470615,2085820.397915533
9.0,1.0,8297964.605405029,2240140.702529001
9.0,3.0,9367695.56193073,2218635.154734941
9.0,5.0,17107511.72896576,2476693.736227202
9.0,7.0,22198203.05526507,2098204.766279692
9.0,9.0,15074638.270438751,1690124.9321666644
9.0,11.0,10681432.550649278,1664994.4364700024
9.0,13.0,8209535.570406422,1782770.8515675315
9.0,15.0,4485264.078000921,1597513.1015139853
9.0,17.0,3494246.8822905417,1450549.201878389
9.0,19.0,1246753.955349604,1488908.7342577039
9.0,21.0,712475.5791771669,1540034.289565394
9.0,23.0,1102272.0106984044,1507005.0198356928
9.0,25.0,1862223.6140968804,1238872.1587486814
9.0,27.0,1412189.778319387,1284252.445803481
9.0,29.0,2374326.7401035703,1407612.6316266272
9.0,31.0,2737258.293597043,1407701.8827389989
9.0,33.0,3677169.718928365,1260790.0037345914
9.0,35.0,4580626.031503719,969343.602634705
9.0,37.0,4917184.838132378,820903.7608055007
9.0,39.0,4031339.9442606396,995670.873208133
9.0,41.0,3647354.3297938975,872822.1658118765
9.0,43.0,3723800.86600902,848189.7035195526
9.0,45.0,5762182.0185574405,512503.7790991876
9.0,47.0,5927673.796742886,453476.46753090096
9.0,49.0,4861416.512865701,383948.1673233468
9.0,51.0,3215343.498418154,326483.72459942795
9.0,53.0,1851338.666776466,226379.65311760936
9.0,55.0,1491228.674632912,221251.87765818383
9.0,57.0,1916880.0815178964,247039.62784466104
9.0,59.0,1878746.69009431,191864.29308696082
9.0,61.0,1328652.0159812204,153547.93990232187
9.0,63.0,1334449.6649375937,155924.73358879366
9.0,65.0,800159.820773092,113031.93300611815
9.0,67.0,584332.9309999347,98900.73001747925
9.0,69.0,383626.67355438333,118800.72407284837
9.0,71.0,269661.7482479576,114093.1704423605
9.0,73.0,232515.22880026686,94286.03236019971
9.0,75.0,146143.0240663894,88287.89886886321
9.0,77.0,155158.7601375306,81755.24565504989
9.0,79.0,238566.99673392434,78427.87126731766
9.0,81.0,189308.78262604604,92470.55491388192
9.0,83.0,117313.27768090005,89838.42150311756
9.0,85.0,118773.59141069806,84477.72534453915
9.0,87.0,99988.16470549289,81999.96628374862
9.0,89.0,111905.53861309424,79372.02358137691
11.0,-89.0,19097.976859356982,23218.759309811227
11.0,-87.0,20220.185377646463,24831.275864381943
11.0,-85.0,21613.27997177215,27073.90555161946
11.0,-83.0,23544.950730204295,30005.6051224411
11.0,-81.0,25968.876827226937,34110.48606614248
11.0,-79.0,27796.67996235872,37097.591969806126
11.0,-77.0,28240.14869762497,38666.915294529426
11.0,-75.0,29261.972717976598,43665.51537563765
11.0,-73.0,30969.464895205845,53435.80857304459
11.0,-71.0,149249.45381646097,76108.02294039278
11.0,-69.0,297221.4017050956,79318.87005176622
11.0,-67.0,103448.51686627862,97718.91050495561
11.0,-65.0,63890.160280633005,97740.42410917621
11.0,-63.0,58401.26526597621,98947.10943227935
11.0,-61.0,42403.43240477389,92643.00194047495
11.0,-59.0,36632.65781628156,84340.87491413498
11.0,-57.0,31104.370695771602,74978.76820640535
11.0,-55.0,33157.55437924332,76515.66706105614
11.0,-53.0,33774.541680990085,85616.04788032289
11.0,-51.0,37075.3438323155,100011.93194751408
11.0,-49.0,41877.11470241121,119456.99096832689
11.0,-47.0,52555.215994087965,145013.1729849711
11.0,-45.0,66512.2391575789,178386.88506015524
11.0,-43.0,87886.31482423382,220007.4286705361
11.0,-41.0,146480.9330333313,276485.675623574
11.0,-39.0,201246.21687544216,339981.6834211657
11.0,-37.0,468716.9203720227,415337.812582663
11.0,-35.0,625228.3906127673,497524.47358833684
11.0,-33.0,709480.7823728082,586011.9418173542
11.0,-31.0,937656.5418365573,676141.9001370557
11.0,-29.0,1102615.0105421112,773626.0720756232
11.0,-27.0,1403376.1696201826,871980.7794000893
11.0,-25.0,1506858.2774315353,997884.1155075788
11.0,-23.0,1150219.4687052413,1129985.4055259742
11.0,-21.0,989308.7011709127,1220434.1283876363
11.0,-19.0,1411397.0233966322,1337037.3847003642
11.0,-17.0,1851626.2271246,1443400.6968914133
11.0,-15.0,2168959.660522978,1553771.7483477504
11.0,-13.0,1391225.5584278405,1671875.7347397045
11.0,-11.0,1024620.327431859,1779878.172878943
11.0,-9.0,1470391.3544842422,1861847.266899836
11.0,-7.0,2466658.620885415,1876851.0153082544
11.0,-5.0,4322884.299462088,1865021.5734493819
11.0,-3.0,8116167.991969187,2031477.1791693226
11.0,-1.0,9950960.281128634,2600397.8848473714
11.0,1.0,9276685.864242112,2643488.2503453796
11.0,3.0,9380649.740304036,2337672.351519774
11.0,5.0,17038659.383901898,2517089.4492438072
11.0,7.0,19885954.682823982,2375068.211198656
11.0,9.0,16173171.964205323,1753954.913289173
11.0,11.0,10951486.641938886,1723413.7754925431
11.0,13.0,7347783.218769683,1838448.1519845694
11.0,15.0,4121943.8986296253,1645886.8202497915
11.0,17.0,2855207.85426241,1626657.9919278133
11.0,19.0,1243007.108204123,1620018.8494109325
11.0,21.0,694883.0569390949,1500096.4540721078
11.0,23.0,790305.8792977462,1488114.8172752184
11.0,25.0,1904577.526262724,1376370.7884543047
11.0,27.0,1582902.468510952,1395459.3224983434
11.0,29.0,1808257.6969854645,1459444.3198724831
11.0,31.0,2730847.381164514,1377718.2458001135
11.0,33.0,4511971.468304882,1071941.2630166216
11.0,35.0,4258586.301320162,1077607.460367863
11.0,37.0,4566050.420848025,935724.9047646367
11.0,39.0,3648748.489843859,1104621.4613062686
11.0,41.0,3609139.3118232847,927414.9634533982
11.0,43.0,4205666.49357735,682928.3232917191
11.0,45.0,6182023.322634247,520760.9294960911
11.0,47.0,5519570.605867789,463044.95318730857
11.0,49.0,5011950.00538459,405510.9738838091
11.0,51.0,3335598.2860445944,346519.13901700923
11.0,53.0,2229596.393998168,275458.6468030866
11.0,55.0,1567691.8540700204,222977.1029326385
11.0,57.0,1875159.3930645415,243111.56029165417
11.0,59.0,1973560.8772298344,193890.50097336326
11.0,61.0,1569313.6137714987,156179.46615923982
11.0,63.0,1044588.4385981229,141701.98944030076
11.0,65.0,1058679.3399962187,135736.43504996898
11.0,67.0,713233.6048156482,119062.28203974165
11.0,69.0,457996.80269293266,109871.38512334278
11.0,71.0,286661.8428836023,113501.69257154287
11.0,73.0,246236.4464772078,91354.08270147463
11.0,75.0,176420.8486285422,84032.54754715806
11.0,77.0,240195.89833072326,76902.52688799838
11.0,79.0,251053.4377114264,82518.2188390717
11.0,81.0,214398.04768308703,89864.72414169823
11.0,83.0,114651.34735455277,89720.48794038335
11.0,85.0,102864.42143778403,85399.63488106066
11.0,87.0,101790.80220336447,81722.73845504217
11.0,89.0,106156.50922340293,79846.15224577971
13.0,-89.0,19103.25183215967,23198.151305788568
13.0,-87.0,20277.096260358423,24817.934200816493
13.0,-85.0,21688.06694040469,26969.55946775825
13.0,-83.0,23498.381259471185,29668.596237269645
13.0,-81.0,26023.13610648244,33821.779961392385
13.0,-79.0,27524.606032094885,36308.36474212405
13.0,-77.0,27985.657597027115,37992.009175571424
13.0,-75.0,28987.572042070693,42920.37042914159
13.0,-73.0,30802.665450362543,52546.51364110697
13.0,-71.0,156696.75943240404,73442.38723847129
13.0,-69.0,353723.2020301992,79124.55169263939
13.0,-67.0,139230.7959921714,97069.21823628781
13.0,-65.0,68440.7683756035,97281.63990111803
13.0,-63.0,51412.16765508617,98104.02843450365
13.0,-61.0,43412.48175051928,91838.86497276605
13.0,-59.0,34781.46451013402,81694.55854863318
13.0,-57.0,29333.31907349507,71707.1485371145
