t,year,month,longitude,latitude,obs,UKESM1_0_LL,bias
143.41304347826087,2001.8260869565217,1.5,-171.0,-15.0,8.87695652173913,15.163260869565217,6.286304347826087
265.5,2012.0,1.5,-159.0,21.0,28.77333333333333,34.193333333333335,5.420000000000001
144.0204081632653,2001.8775510204082,1.489795918367347,-157.0,21.0,28.760204081632654,34.77285714285714,6.01265306122449
145.5,2002.0,1.5,-157.0,71.0,26.2362,6.539199999999999,-19.697
84.83333333333333,1996.9444444444443,1.5,-155.0,19.0,26.60666666666667,32.38444444444444,5.777777777777776
265.5,2012.0,1.5,-149.0,61.0,29.185,5.79,-23.394999999999996
146.9591836734694,2002.1224489795918,1.489795918367347,-149.0,63.0,29.731020408163264,6.632040816326531,-23.098979591836734
280.0,2013.2,1.6,-147.0,65.0,28.568,2.864,-25.704
188.22222222222223,2005.5555555555557,1.5555555555555556,-135.0,61.0,31.197777777777773,5.981111111111111,-25.216666666666665
211.5,2007.5,1.5,-133.0,69.0,27.335,7.62625,-19.70875
199.5,2006.5,1.5,-127.0,55.0,30.525714285714287,8.893571428571429,-21.63214285714286
235.5,2009.5,1.5,-127.0,65.0,30.101875,7.672499999999999,-22.429375
165.26470588235293,2003.6470588235295,1.5,-125.0,41.0,30.85617647058823,27.53705882352941,-3.3191176470588233
247.5,2010.5,1.5,-125.0,49.0,28.746875,8.009375,-20.7375
211.5,2007.5,1.5,-125.0,51.0,29.689999999999998,9.209583333333333,-20.480416666666667
145.5,2002.0,1.5,-123.0,37.0,28.508000000000003,21.3188,-7.1892
145.5,2002.0,1.5,-123.0,39.0,25.5464,15.531199999999998,-10.0152
152.89361702127658,2002.6170212765958,1.4893617021276595,-123.0,41.0,29.252978723404258,14.787659574468085,-14.465319148936171
253.5,2011.0,1.5,-123.0,45.0,29.517857142857142,13.961428571428572,-15.55642857142857
167.21428571428572,2003.8095238095239,1.5,-123.0,47.0,25.820238095238096,6.830238095238095,-18.990000000000002
145.5,2002.0,1.5,-123.0,49.0,25.7454,5.1484000000000005,-20.596999999999998
213.13636363636363,2007.6363636363637,1.5,-123.0,51.0,30.353181818181817,8.511363636363637,-21.84181818181818
157.5,2003.0,1.5,-123.0,53.0,30.400714285714283,8.865714285714287,-21.535
253.5,2011.0,1.5,-123.0,61.0,29.4975,4.3625,-25.134999999999998
145.5,2002.0,1.5,-121.0,35.0,26.7318,24.823600000000003,-1.9082
145.5,2002.0,1.5,-121.0,37.0,24.8152,11.1052,-13.71
145.5,2002.0,1.5,-121.0,39.0,26.628,12.421800000000001,-14.2062
145.5,2002.0,1.5,-121.0,41.0,30.3418,17.0336,-13.3082
204.64285714285714,2006.9285714285713,1.5,-121.0,47.0,25.165,7.954642857142858,-17.21035714285714
141.91489361702128,2001.7021276595744,1.4893617021276595,-121.0,49.0,27.56042553191489,8.554893617021277,-19.005531914893616
175.5,2004.5,1.5,-121.0,51.0,30.115999999999996,8.614,-21.502
145.5,2002.0,1.5,-119.0,33.0,27.038800000000002,18.3668,-8.672
145.5,2002.0,1.5,-119.0,35.0,26.514400000000002,12.483999999999998,-14.0304
145.5,2002.0,1.5,-119.0,37.0,28.4942,18.4368,-10.0574
145.5,2002.0,1.5,-119.0,39.0,30.4302,18.1994,-12.230799999999999
213.66666666666666,2007.6666666666667,1.6666666666666667,-119.0,45.0,29.963333333333335,15.17,-14.793333333333331
