longitude,latitude,annual,JJA,DJF
1.0,-89.0,17.449941935865354,20.374946174683828,16.538640679186756
1.0,-87.0,17.64425228145683,20.59532810960718,16.96323259636756
1.0,-85.0,17.67001478469865,20.447400217449285,17.431990073646375
1.0,-83.0,17.564262932978636,20.235153996850386,17.243090510987713
1.0,-81.0,18.648499633400206,21.528595794961802,17.863174051058195
1.0,-79.0,19.477523593991464,22.26568263097306,18.825915049092146
1.0,-77.0,19.890013192025435,22.513512831778826,19.595134403971315
1.0,-75.0,20.469645534149095,22.92110856672025,20.50286518340272
1.0,-73.0,20.769556741129236,23.4184831526818,19.919639271392953
1.0,-71.0,19.17818437391361,22.290105761157974,17.161672971610642
1.0,-69.0,17.480614289411278,18.340529095439706,15.468799574591685
1.0,-67.0,17.85888947836156,19.66676599352013,15.005754860908382
1.0,-65.0,18.262953815906258,20.93934625690963,14.734511388780902
1.0,-63.0,18.67561394419681,22.14475536277405,14.588879437837932
1.0,-61.0,19.22846948332335,23.634985524267904,14.495395106450815
1.0,-59.0,19.731055900251704,24.519556163227207,14.591464037039259
1.0,-57.0,20.115351162530715,25.061542174853457,14.755585198145127
1.0,-55.0,20.41685220888212,25.44982535823692,14.970117589996335
1.0,-53.0,20.74904692506152,25.695197081176957,15.340837933308649
1.0,-51.0,21.23550402188812,26.144610032474702,15.803477637632568
1.0,-49.0,21.712182274313818,26.600968539014502,16.214055875707345
1.0,-47.0,22.1460876304036,27.065844676599227,16.65754467694569
1.0,-45.0,22.648421804660757,27.6657523556878,17.128810370081737
1.0,-43.0,23.18207670271022,28.177923994121556,17.577381328237607
1.0,-41.0,23.668450310765365,28.538169161151927,18.050116068479838
1.0,-39.0,24.079502836116262,28.83984961954411,18.527959610992184
1.0,-37.0,24.65715809307767,29.228200304487473,19.33412008270352
1.0,-35.0,25.21460551463406,29.69831314203475,19.930329386852463
1.0,-33.0,25.719842255966796,30.089278624245708,20.465297012606243
1.0,-31.0,26.13424676667364,30.409047724333504,20.910626119530207
1.0,-29.0,26.466413061143612,30.678837248387936,21.197873678602264
1.0,-27.0,26.898387517348965,30.926091909577735,21.674191330589565
1.0,-25.0,27.486935394449574,31.219336449339607,22.44709129683997
1.0,-23.0,27.957442583215197,31.50615413005653,22.95025680609797
1.0,-21.0,28.543833963112775,31.903795161269954,23.593930364995686
1.0,-19.0,29.46281973947862,32.60475622823833,24.74073390601461
1.0,-17.0,30.760027414089564,33.68092649225218,26.419616716566452
1.0,-15.0,32.335425004248464,35.116165975068725,28.366470061769178
1.0,-13.0,33.74885437779085,36.58438529896557,30.01548876113702
1.0,-11.0,34.33419593079634,37.835036437172676,30.367452552582108
1.0,-9.0,34.419308292399364,38.9072063455842,29.90601899455214
1.0,-7.0,34.458405906434564,39.97207187467211,29.69105139527528
1.0,-5.0,34.42110596552084,40.839641002321514,30.006980011876294
1.0,-3.0,34.342093613304314,41.237385062231624,30.79611587963882
1.0,-1.0,34.48209184853113,41.42562914921655,32.750374856505005
1.0,1.0,35.926671415609235,41.40598619528646,37.860363732988844
1.0,3.0,36.35502210386221,39.62620098718617,42.178061931963384
1.0,5.0,37.19526375789428,38.02860248924844,46.37913875171762
1.0,7.0,36.719018936537395,34.74289300697819,45.04534345528555
1.0,9.0,37.77000756599591,32.863223253798424,42.998010485462146
1.0,11.0,41.104037507011526,35.55628680373957,44.127599352350444
1.0,13.0,43.81718099466525,40.94254535402797,41.74218659613871
1.0,15.0,44.66260605795469,45.05128714527018,39.22092162156332
1.0,17.0,45.634074297140614,48.97547611903974,38.806604152341606
1.0,19.0,46.48786600114363,51.75944650659403,38.83772947688158
1.0,21.0,45.7986111257469,52.339952816282675,37.26803399217715
1.0,23.0,46.68950381869763,53.9692415202353,37.818537634848326
1.0,25.0,46.83274923422687,54.979690133905024,37.48164090211503
1.0,27.0,46.028681310872344,54.66122487973735,36.16916188775576
1.0,29.0,46.94833322105296,55.37442504532919,36.935503544555104
1.0,31.0,47.00734734797152,55.34265312689968,36.732441088815904
1.0,33.0,46.45644580136832,55.487792138819714,35.934963449335555
1.0,35.0,41.21550745139757,52.5754728641914,28.381169414615215
1.0,37.0,47.678476278179005,60.98672855614495,33.04121065639265
1.0,39.0,47.86155471947495,61.28490070977932,31.61985873134654
1.0,41.0,41.55125310489893,56.09171083165165,24.567462730828993
1.0,43.0,30.55747654912011,43.50512483597413,15.1507713042065
1.0,45.0,30.56713637761277,43.38523140745565,15.596103963844143
1.0,47.0,31.21849800891141,43.99696607038095,16.80558092687079
1.0,49.0,28.929886042305952,41.74717815885742,15.078049031558294
1.0,51.0,31.994900950849114,40.407417856158645,21.049599396860685
1.0,53.0,32.19045652258501,41.76824219825903,21.06225949205509
1.0,55.0,34.45743956831393,41.56999011684093,26.794818808184573
1.0,57.0,35.593082259310904,41.67323552906055,29.027535930481463
1.0,59.0,34.943109739060674,39.44626314478228,29.198698570098713
