t,year,month,longitude,latitude,obs,UKESM1_0_LL,bias
156.0909090909091,2002.4242424242425,7.0,-171.0,-15.0,17.485454545454544,26.30227272727273,8.816818181818181
272.1111111111111,2012.111111111111,6.777777777777778,-159.0,21.0,20.76888888888889,26.956666666666667,6.187777777777778
148.13888888888889,2001.763888888889,6.972222222222222,-157.0,21.0,20.01013888888889,25.412083333333335,5.401944444444444
147.04109589041096,2001.6712328767123,6.986301369863014,-157.0,71.0,16.09205479452055,27.093150684931505,11.001095890410959
81.66666666666667,1996.2222222222222,7.0,-155.0,19.0,18.37333333333333,24.764444444444443,6.391111111111111
262.5,2011.3,6.9,-149.0,61.0,21.532999999999998,24.586000000000002,3.0530000000000004
147.04109589041096,2001.6712328767123,6.986301369863014,-149.0,63.0,20.59753424657534,24.473150684931507,3.8756164383561647
277.0,2012.5,7.0,-147.0,65.0,19.37375,24.5675,5.19375
193.0,2005.5,7.0,-135.0,61.0,22.020555555555557,22.75111111111111,0.7305555555555563
217.0,2007.5,7.0,-133.0,69.0,16.125833333333333,22.371666666666666,6.245833333333334
203.0731707317073,2006.341463414634,6.975609756097561,-127.0,55.0,21.832926829268292,22.545853658536586,0.712926829268293
241.0,2009.5,7.0,-127.0,65.0,19.05333333333333,20.8975,1.844166666666667
164.82692307692307,2003.1538461538462,6.980769230769231,-125.0,41.0,26.1675,40.05634615384615,13.888846153846155
243.12,2009.68,6.96,-125.0,49.0,23.4932,19.2272,-4.266
211.0,2007.0,7.0,-125.0,51.0,22.502307692307692,19.26820512820513,-3.234102564102564
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,37.0,29.974794520547942,40.509589041095886,10.534794520547944
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,39.0,28.841506849315067,33.16452054794521,4.323013698630136
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,41.0,30.1086301369863,32.48849315068493,2.37986301369863
150.66197183098592,2001.9718309859154,7.0,-123.0,43.0,28.549859154929578,31.28492957746479,2.7350704225352107
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,45.0,26.522876712328767,31.725479452054795,5.202602739726028
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,47.0,24.123424657534247,27.236712328767123,3.1132876712328765
147.04109589041096,2001.6712328767123,6.986301369863014,-123.0,49.0,24.569589041095888,27.216849315068494,2.6472602739726026
212.0,2007.0833333333333,7.0,-123.0,51.0,24.735277777777778,22.981944444444444,-1.753333333333333
157.0,2002.5,7.0,-123.0,53.0,23.064545454545453,25.634848484848487,2.5703030303030303
246.5,2010.0,6.5,-123.0,61.0,19.67,22.625,2.955
147.04109589041096,2001.6712328767123,6.986301369863014,-121.0,35.0,32.89041095890411,42.96616438356165,10.075753424657535
147.04109589041096,2001.6712328767123,6.986301369863014,-121.0,37.0,33.961643835616435,36.13356164383562,2.1719178082191783
147.04109589041096,2001.6712328767123,6.986301369863014,-121.0,39.0,35.74712328767123,38.34328767123288,2.596164383561644
147.04109589041096,2001.6712328767123,6.986301369863014,-121.0,41.0,35.754383561643834,37.627945205479456,1.873561643835617
165.2093023255814,2003.1860465116279,6.976744186046512,-121.0,45.0,31.45488372093023,33.04488372093024,1.59
147.04109589041096,2001.6712328767123,6.986301369863014,-121.0,47.0,28.383424657534242,31.760410958904114,3.3769863013698633
147.9,2001.7428571428572,6.985714285714286,-121.0,49.0,28.271714285714285,28.660714285714285,0.3889999999999999
181.0,2004.5,7.0,-121.0,51.0,26.64333333333333,25.576999999999998,-1.0663333333333338
147.04109589041096,2001.6712328767123,6.986301369863014,-119.0,33.0,33.97328767123288,44.44465753424657,10.471369863013699
147.04109589041096,2001.6712328767123,6.986301369863014,-119.0,35.0,38.656164383561645,40.82904109589041,2.172876712328767
147.04109589041096,2001.6712328767123,6.986301369863014,-119.0,37.0,40.87739726027397,45.74904109589041,4.871643835616438
147.04109589041096,2001.6712328767123,6.986301369863014,-119.0,39.0,40.86356164383562,43.48739726027397,2.6238356164383565
249.13636363636363,2010.1818181818182,6.954545454545454,-119.0,45.0,33.02045454545455,33.11363636363637,0.09318181818181773
148.5857142857143,2001.8,6.985714285714286,-119.0,49.0,29.302,30.158428571428573,0.8564285714285716
235.0,2009.0,7.0,-119.0,51.0,28.114814814814817,26.23962962962963,-1.875185185185185
164.09375,2003.09375,6.96875,-119.0,53.0,25.53875,24.4128125,-1.1259375
205.0,2006.5,7.0,-119.0,55.0,22.950238095238095,23.893571428571427,0.9433333333333338
147.04109589041096,2001.6712328767123,6.986301369863014,-117.0,33.0,34.639178082191776,41.16438356164384,6.5252054794520555
147.04109589041096,2001.6712328767123,6.986301369863014,-117.0,35.0,39.4713698630137,38.455205479452054,-1.016164383561644
179.0,2004.3333333333333,7.0,-117.0,37.0,42.22280701754386,47.849999999999994,5.62719298245614
169.67307692307693,2003.5576923076924,6.980769230769231,-117.0,43.0,35.457692307692305,34.17326923076923,-1.2844230769230767
147.04109589041096,2001.6712328767123,6.986301369863014,-117.0,47.0,31.79780821917808,37.42178082191781,5.623972602739726
236.8846153846154,2009.1538461538462,7.038461538461538,-117.0,49.0,29.561153846153847,28.78576923076923,-0.7753846153846156
145.0,2001.5,7.0,-117.0,53.0,25.97583333333333,23.28916666666667,-2.686666666666666
251.8,2010.4,7.0,-117.0,63.0,19.15533333333333,24.122,4.966666666666667
147.04109589041096,2001.6712328767123,6.986301369863014,-115.0,33.0,37.712876712328764,43.50917808219178,5.796301369863014
207.06976744186048,2006.6744186046512,6.976744186046512,-115.0,35.0,41.730232558139534,49.39883720930233,7.6686046511627906
147.04109589041096,2001.6712328767123,6.986301369863014,-115.0,37.0,42.851232876712324,49.10315068493151,6.2519178082191775
25.0,1991.5,7.0,-115.0,41.0,38.800000000000004,49.01416666666666,10.214166666666669
157.0,2002.5,7.0,-115.0,43.0,35.60666666666666,31.39,-4.216666666666665
268.6363636363636,2011.8181818181818,6.818181818181818,-115.0,47.0,32.49454545454545,31.976363636363637,-0.5181818181818181
