region,o3net_mole,o3_ppb
AUS,0.3084464926253381,21.90820922777778
BRA,0.7144273725241875,21.903137622916667
BTH,0.537185759624458,21.578030030416667
CA,0.4848903331688933,32.77468693666667
CCE,1.2642320569691452,33.46897142555556
COD,1.1273340780920822,29.8988526
DEU,0.24693045563877158,24.981627899166664
FIN,0.12966734834316757,22.499470070555557
FRA,0.3798355178316052,29.816768012083333
GBA,1.7758077729700905,32.03482857444445
GBR,0.1498413076586744,28.394439191666667
IDN,0.9373093196776138,31.432592472222222
IL,0.6643734039943999,30.5581250125
IND,0.900254562432433,42.44012654861111
JPN,0.751446014716821,35.406605506666665
KOR,0.5617434319816256,36.861011775
MYS,1.8313350664445842,34.854011686111114
NOR,0.14250402068995022,21.639576981111112
NY,0.48205702435112435,27.826150329999997
NZL,0.20272431565760926,24.713001294444442
QTP,0.5521113117544969,48.65194825185185
SGP,3.070231433425014,48.452249583333334
TO,0.44747255654235524,27.157566180555552
VAN,0.25000801055185656,21.548501078333334
WA,0.3797781968723026,22.750884189583335
YYN,1.3850093151924192,39.145420808333334
