longitude,latitude,Sn,Sv,SnSv,FNR,HOP,LER_etoo,LER_isop,Sv_adj,Sn_adj,SnSv_adj,FNR_NO2,FNR_NOy,FNR_NOx
1.0,7.0,4643417.292619815,1491373.2321243053,3.113517926029658,0.8473374238406248,0.5883274486146587,0.0019896930144566913,0.136938633375377,1.491373232124305,10.503280759776759,7.04269094652848,1.0568871053013398,0.5647152601231563,0.8473374238406248
1.0,9.0,4758674.678486519,1633896.7794723317,2.9124695869853765,1.0313139273990495,0.45531040157359176,0.004121239409767745,0.5760270690464107,1.6338967794723318,10.733795531510173,6.569445307907799,1.2634369298763792,0.7185001937797569,1.0313139273990495
1.0,11.0,1966959.7475436046,2992599.748197914,0.6572745816503092,0.9711613322675939,0.6002454101197535,0.0023998092235489746,0.19937422658554704,2.9925997481979136,5.15036566962434,1.7210339179924719,1.1656125115224973,0.6695827684146435,0.9711613322675939
1.0,13.0,461337.219465141,3831023.06877636,0.12042141516325912,0.8570942668883995,0.7082648067799767,0.0006561539066251512,0.020673497640874637,3.8310230687763607,2.1391206134674117,0.5583679803188063,1.0147152026938075,0.5442534595813827,0.8570942668883995
1.0,15.0,1305973.673537382,2407487.5458042943,0.5424633144264436,0.8900783556392852,0.7620628618028038,0.000474345825999534,0.010953885209990176,2.4074875458042944,3.8283935216118943,1.590202835434774,1.0463188941910877,0.5242149205069129,0.8900783556392852
1.0,17.0,56613.67758862706,1123697.7540104948,0.05038158827546995,2.276074334325061,1.7189155947786616,0.0015530839596423385,0.0007899557689690238,1.1236977540104944,1.3296735297143847,1.183301759720316,2.6421358425984507,0.7736504369459207,2.276074334325061
1.0,19.0,853551.4491718663,160604.50503837175,5.314617102228453,1.0067935737399734,1.0504022854054849,0.0003338224270913847,1.608228161671295e-05,0.1606045050383716,2.9235490728808635,18.203406387525494,1.1808974035646136,0.4740839269513054,1.0067935737399734
1.0,21.0,770218.8296852622,-212684.2284099098,-3.6214195826538056,1.4507676441541173,1.482895567664622,0.0006244658287026439,8.714380052263592e-05,-0.21268422840990975,2.756883833907655,-12.96233319470341,1.7029480693585557,0.5633715240639032,1.4507676441541173
1.0,23.0,691572.3771862944,-312620.2417678394,-2.2121804182464793,2.214185630018123,1.8299348688307333,0.0013021275400831056,0.00015377486447002328,-0.3126202417678398,2.599590928909719,-8.315491390478307,2.5962893203205164,0.6487891316643013,2.214185630018123
1.0,25.0,203634.81340575547,19581.998646614462,10.399082191794655,2.8762066985004897,2.099429002047234,0.0023002292251338373,0.0019867542156186712,0.019581998646614418,1.623715801348642,82.91879856857054,3.325577249794522,0.6743554864513157,2.8762066985004897
1.0,27.0,1243091.8952333461,-788789.2625847489,-1.5759493114294088,1.9063285997889223,1.8065430572895924,0.0011942876600634937,0.0028805426042612012,-0.7887892625847488,3.702629965003823,-4.694067402579541,2.2255963558855094,0.5654782321718603,1.9063285997889223
1.0,29.0,1107946.3822132847,-562164.2314863647,-1.970858905917706,1.8898948098190236,1.655553854141782,0.001465016145300172,0.008519957879163998,-0.5621642314863644,3.4323389389637002,-6.105580445572965,2.2234271891519395,0.5199243292569842,1.8898948098190236
1.0,31.0,485160.15706885175,-84687.78142587622,-5.728809385489603,3.395809001228859,1.9595269037558587,0.04298272080332269,0.5289950810404604,-0.08468778142587617,2.1867664886748344,-25.821511106520408,3.992372937713846,0.5581400091033646,3.395809001228859
1.0,33.0,1113140.2282221904,137571.82534549304,8.091338654747723,0.770890803873338,0.6936275875550584,0.0037858364066977552,0.17627413053723429,0.137571825345493,3.442726630981512,25.024939680312958,0.9166338090758336,0.33732560672187867,0.770890803873338
