region,Sn,Sn_err,Sv,Sv_err,Sn_adj,Sv_adj,SnSv,SnSv_adj,LER_NOx,LER_NOx2,FNR_NO2,FNR_NOx,FNR_NOy,VOC_NOx,ln_LER_NOx_adj,LER_NOx_adj,ln_LER_NOx2_adj,LER_NOx2_adj,ln_HOP_adj,HOP_adj
AUS,0.6785578,0.1386739,0.7296371,0.0566649,0.744778302990176,0.6647628473958251,0.929993554,1.1203669182830633,0.0003664201718283,0.1139992779518717,0.4429757615026863,0.339544556756769,0.2823323637170308,5.233270352491245,-7.352208901106544,0.0006411745039085544,-1.3722927414925714,0.2535250253503477,-1.1317559929047858,0.32246651006288923
BRA,1.039605,0.0508381,0.3763526,0.1016394,0.8348186154885098,0.46867431734742515,2.762316509,1.781233971517755,0.0241742216501898,12.51778799077028,5.869522056204953,4.778273592870123,3.453524341300948,98.62642361159756,-5.079875190447893,0.006220685368448093,0.8043953900650423,2.235344578628688,-0.281708414800776,0.7544936516436813
BTH,-9.901132,0.1837589,4.863086,0.174193,-9.62993888546099,5.000037589651539,-2.035977155,-1.9259732975258106,2.741618148085816e-07,0.0038172350831991,0.0476149904183272,0.0169506374715627,0.0154047201992514,0.4296869569561021,-14.192869200824333,6.856701191011195e-07,-5.927205333011274,0.002665921951897911,-3.714723766630552,0.024362169829892297
CA,-0.437245,0.2740609,1.66463,0.0670239,-0.3812077203829694,1.9093294952651674,-0.26266798,0.1996552826181699,1.450533940208736e-05,0.0153834739301537,0.134979948159556,0.0875671151364122,0.0713100312853877,1.086754644147199,-9.735846856391412,5.912558266560127e-05,-3.0418400184994097,0.04774695333949775,-2.1335950794719425,0.11841083137934207
CCE,0.3448996,0.0848646,1.208617,0.0334955,0.5874353820716,0.7096125507169259,0.285367159,0.8278255236781424,0.0001937151154612,0.1066917613342931,0.2269742234585492,0.1525551385322437,0.1056178738017269,3.0224498340795707,-7.9929752758919115,0.0003378274567224028,-1.7317224653589747,0.17697930655548347,-1.845449533845256,0.1579542991240402
COD,0.3885972,0.0186846,0.1826891,0.1449888,0.4276353903847875,0.16601168735506378,2.127095705,2.575935448607874,0.0155483938938858,8.918086889843932,5.273860758120658,4.383425596335114,2.704649348046433,86.08655751028023,-3.9910552233914585,0.01848020308480544,1.625091352130164,5.078882982767879,-0.13967341768412256,0.8696421987908367
DEU,-1.182926,0.282724,2.000965,0.0899827,-1.2509629289118942,1.8921372239614207,-0.591177757,-0.6611375293696486,1.596164783787737e-05,0.0127910048216666,0.0949521806016497,0.0702071345869898,0.0545763824180001,0.5569303606801027,-11.029926709412763,1.62092788785921e-05,-4.096335009876638,0.016633525532878824,-2.437087638530034,0.08741506536917916
FIN,0.1592758,0.3316645,1.598572,0.108084,0.24451422957808935,1.0413047723109512,0.0996363,0.2348152386341853,0.0007643561335236,0.2082579667058524,0.455268547550593,0.3527525126539158,0.2301048029572392,3.494705866884511,-8.492461402947141,0.00020500803121245248,-2.219384442840591,0.10867598452026707,-1.4245396095910856,0.24061921649098428
FRA,0.4666636,0.0808901,1.024897,0.0329644,0.4790518409720065,0.9983932483773683,0.455327316,0.4798227972214193,0.0001447713410275,0.0584250172396717,0.226905908424583,0.1819440918550265,0.1317856588861786,1.9326169662352288,-8.615121447334982,0.0001813427905559911,-2.3163121045379915,0.09863667742556571,-1.6804299047303193,0.1862938702056744
GBA,0.1475995,0.0995392,1.497546,0.0561901,0.21485906160375848,1.0287536358817153,0.098560912,-0.2088537560537702,3.0864756812485776e-05,0.073104307466238,0.2370452428794969,0.1409549135008564,0.1110886788724343,2.10383808432263,-10.137073791060093,3.9584465933897576e-05,-3.0484218726358736,0.04743372181006146,-2.4270751454899977,0.0882947044442002
GBR,-1.642956,0.1126487,2.431756,0.1104726,-1.4966278090658096,2.669513479927808,-0.675625351,-0.5606369180272679,1.2076921224843295e-05,0.0069734932220789,0.108502206194445,0.0800527852613848,0.0640220619287821,0.3069122716202375,-10.959155048399436,1.7398004392638697e-05,-4.161670868914907,0.01558150151110057,-2.3657738756895386,0.0938766234139661
IDN,0.571652,0.0265543,0.2839918,0.0693775,0.5765616698546299,0.2815734880442753,2.012917274,2.0476418918297297,0.0360573630611119,7.070391333880618,5.927087437455258,4.78757022912362,2.867111126242212,36.45329247639452,-4.5505385118349615,0.010561515351172689,0.94224686470213,2.5657398169649834,-0.19090512298555082,0.8262109728630918
IL,2.147033,0.6082341,2.07886,0.0990592,1.608626865206074,2.7746527917201087,1.032793454,0.5797578961387182,0.0001605424245933,0.0559962441451682,0.2967637233369752,0.2329590343251957,0.1697422757894348,1.6861389536828164,-8.430530239159081,0.00021810581148226353,-2.213054456373959,0.10936608388707236,-1.5805647818891755,0.20585880004443496
IND,0.8519063,0.0335565,0.4837709,0.04861,0.6945402193330652,0.5933817308123882,1.760970534,1.1704779290544396,6.277850332270622e-06,0.0064669314312775,0.1478597934837458,0.0966902571990588,0.0742139040700499,1.0591807307895904,-8.495229164424853,0.00020444140238947716,-2.174975585796105,0.11361092735725015,-1.637090951004238,0.19454516131905708
JPN,-0.1156291,0.0765681,1.353738,0.0534256,-0.09259703309049977,1.6904592010287613,-0.085414681,0.05477625995099222,0.0001012644626463,0.0785282045923714,0.2343583776842542,0.1694940646294148,0.1216858219316439,1.820136345769038,-9.375517026990646,8.477439326426844e-05,-2.7209531132193785,0.06581199823876263,-2.0653794445642104,0.12677017918537517
KOR,-0.1187337,0.239789,1.448416,0.0767369,-0.3257592368264541,0.5279229915154144,-0.081974861,0.6170582505463786,0.0001477581918453,0.0689797482125341,0.2665692839833909,0.2052756518991588,0.1195685345515971,1.7904301726649965,-8.398105075937227,0.00022529383465722642,-2.1072011180841566,0.12157777250184632,-1.6225718065964698,0.19739039581289877
MYS,0.8910681,0.0275718,0.7645574,0.0863958,1.1361533574630873,0.5996309435551477,1.165469198,1.8947543808792244,0.0119854910936951,5.697285489356959,2.936257416049561,2.443537495492126,1.6956345740168974,45.043435439879374,-5.115905226946076,0.006000543521464515,0.700011237607147,2.013775337359447,-0.6428465281108358,0.5257936055618915
NOR,-0.2197423,0.5381185,1.5428,0.1070704,-0.427832388908923,0.7924094323587321,-0.14243084,-0.5399132965163695,0.0004247630497958,0.226769352656248,0.2798314744559464,0.2100684996991608,0.1510622803980933,3.623711439234986,-9.85923847496565,5.226213344862227e-05,-3.093071639729642,0.04536240322888559,-1.9664387656894227,0.13995438013005154
NY,0.0290985,0.2287202,1.276946,0.0872189,0.04104373079773706,0.9053078864616435,0.022787573,0.0453367651849963,0.0001006968360901,0.0505814200097159,0.2211816794718217,0.1687608028438573,0.1226199763448814,1.456049068455678,-9.391709058147946,8.341277706230271e-05,-2.86387167638213,0.05704746283137324,-1.8874579940390819,0.1514563227862818
NZL,1.471023,0.0769593,1.820466,0.069801,1.7266164098847754,1.550979905778094,0.8080475,1.1132422822570514,0.0014890721309296,0.2128222054249421,0.7404413560421205,0.5732172455088906,0.441752399124299,4.366043199853693,-6.9425190021670335,0.0009658335933853875,-1.1932828709515853,0.3032241824566542,-0.9945710270805892,0.3698820799121455
QTP,3.846261,0.1295044,1.263858,0.040323,3.3546159512681313,1.449086215994522,3.043269893,2.314987137834593,0.0034842101938302,0.5805982613162997,0.5605242403996319,0.4238232456531474,0.2141345958501119,8.752877334389177,-4.840769626980883,0.007900970910631007,0.5026731383741958,1.6531344266575478,-0.9163395191512551,0.39998048556519195
SGP,0.7178349,0.0353666,0.643419,0.031659,0.7209805164855319,0.640611782097122,1.115656982,1.1254562222153681,0.0006304842360043,0.337515868544228,0.9780250406951528,0.7671107495206354,0.5413409154002952,4.514295415216417,-7.181575920792186,0.0007604684592760919,-1.0407594196058174,0.3531863634396001,-1.310693604308865,0.2696329729194093
