region,LER,LER_NOx,LER_NOx2,FNR_NO2,FNR_NOx,FNR_NOy,VOC_NOx,O3_NOy,O3_HNO3,HOP
AUS,0.0034995650058946225,0.0003664201718283777,0.11399927795187173,0.4429757615026863,0.339544556756769,0.28233236371703085,5.233270352491245,11.123599302979347,104.1778070573023,0.388645626690948
BRA,0.0023650053338028477,0.024174221650189863,12.51778799077028,5.869522056204953,4.778273592870123,3.453524341300948,98.62642361159756,24.151585977818407,453.1948317437704,2.171545008120426
BTH,0.00010659792448768001,2.741618148085816e-07,0.0038172350831991906,0.047614990418327265,0.01695063747156273,0.015404720199251487,0.42968695695610215,0.30409218627833695,6.344929278610929,0.0119785141521911
CA,0.0008075808062903072,1.450533940208736e-05,0.015383473930153749,0.13497994815955602,0.08756711513641226,0.07131003128538778,1.086754644147199,2.316263287395046,17.759434776224026,0.0649601543784006
CCE,0.0004684099812924812,0.00019371511546124388,0.10669176133429312,0.22697422345854926,0.15255513853224373,0.10561787380172698,3.0224498340795707,2.5989992316961845,14.683448770675097,0.0589304661415171
COD,0.0017155767057562203,0.01554839389388588,8.918086889843932,5.273860758120658,4.383425596335114,2.704649348046433,86.08655751028023,16.9883678882664,233.76007467156205,0.914418210898857
DEU,0.0006666530434397234,1.596164783787737e-05,0.012791004821666691,0.09495218060164974,0.07020713458698981,0.054576382418000176,0.5569303606801027,2.6280607775695204,17.000702494548396,0.1006644507033996
FIN,0.0016628829120005567,0.0007643561335236947,0.20825796670585245,0.45526854755059304,0.35275251265391583,0.23010480295723923,3.494705866884511,12.74810566510298,75.97075535719677,0.650720005529866
FRA,0.0017833769602738872,0.00014477134102750983,0.058425017239671764,0.226905908424583,0.18194409185502655,0.13178565888617866,1.9326169662352288,5.987069132150415,31.295401549307908,0.1835514043361812
GBA,0.0002062852717450323,3.0864756812485776e-05,0.07310430746623801,0.2370452428794969,0.14095491350085645,0.11108867887243438,2.10383808432263,1.2958218342856642,8.572826359989252,0.0485928762375249
GBR,0.0008857166187203993,1.2076921224843295e-05,0.006973493222078999,0.10850220619444506,0.08005278526138489,0.06402206192878213,0.3069122716202375,4.627906219609868,36.600923146111555,0.1077972617349398
IDN,0.006365884559989318,0.036057363061111965,7.070391333880618,5.927087437455258,4.78757022912362,2.867111126242212,36.453292476394516,33.55489791355987,294.930062053667,1.8765953800964923
IL,0.0016187302053593789,0.00016054242459331557,0.05599624414516821,0.29676372333697526,0.23295903432519577,0.16974227578943482,1.6861389536828164,4.687444511492819,27.57077061174691,0.2163890361933168
IND,0.008098162306243533,6.277850332270622e-06,0.006466931431277517,0.14785979348374584,0.09669025719905885,0.07421390407004995,1.0591807307895904,2.136150771318776,10.091979617432116,0.0662758891636387
JPN,0.0007446845996130244,0.00010126446264638466,0.07852820459237145,0.2343583776842542,0.16949406462941488,0.12168582193164397,1.820136345769038,5.258903720252574,27.142836652893543,0.1040789943329076
KOR,0.0010909562460844808,0.00014775819184531272,0.06897974821253412,0.2665692839833909,0.2052756518991588,0.11956853455159717,1.7904301726649963,4.448822183379857,14.524547668670426,0.1766617641752604
MYS,0.0026135616775467396,0.01198549109369518,5.697285489356959,2.936257416049561,2.443537495492126,1.6956345740168974,45.043435439879374,13.68986121489495,193.64982782581464,0.5381949387130086
NOR,0.0009031648308881769,0.0004247630497958211,0.226769352656248,0.27983147445594647,0.21006849969916083,0.15106228039809336,3.623711439234986,9.210976811278163,79.18636980364012,0.3940463946301924
NY,0.001052002735480662,0.00010069683609018058,0.05058142000971592,0.22118167947182177,0.16876080284385733,0.12261997634488145,1.456049068455678,3.9591384737493014,25.68458076716761,0.1913527760118892
NZL,0.006779694300521618,0.0014890721309296251,0.2128222054249421,0.7404413560421205,0.5732172455088906,0.441752399124299,4.366043199853693,27.75688223811665,206.80140642144175,0.6213843157555555
QTP,0.05398080268360759,0.003484210193830274,0.5805982613162997,0.5605242403996319,0.42382324565314744,0.21413459585011196,8.752877334389177,23.650468757068918,170.38574628967737,0.1065765888442028
SGP,0.001756394554551719,0.0006304842360043274,0.337515868544228,0.9780250406951528,0.7671107495206354,0.5413409154002952,4.514295415216417,5.336810099593929,26.870819644597027,0.2122231563969284
TO,0.0011508408798178303,0.00018078515961453758,0.07873428261499897,0.2431279433519185,0.18160342706559693,0.12599606454048662,1.3734772325868685,4.841883262126491,30.277786354503856,0.1910520748945613
VAN,0.001343854360294959,0.0024204320548160455,1.074878314495923,0.7654771101900912,0.5921848645216135,0.40054485726052086,21.588684577122347,15.700588961188892,147.48327645568568,0.6065183533269553
WA,0.0007727099777523294,0.0002884165335547747,0.21535149189902986,0.33852481969140885,0.2496349112064698,0.19829311862450172,5.851366931662062,5.871210350001072,68.25933768653655,0.2395255966000784
YYN,0.0009621347434848718,0.00032231281328338817,0.2891266210751795,0.44802405815726515,0.340573414136668,0.268265720539048,6.774341405363076,4.65465431310566,46.20087037622102,0.1094772112006961
