region,beta_adj,beta_adj_ste,co_hcho__no,co_hcho__no_ste,ln_beta_adj,ln_co_hcho__no,ln_beta_adj_ste,ln_co_hcho__no_ste
AUS,7.582997742385994,0.5042243321543507,4.933821731251275,0.40193802590838895,2.025908601998326,1.596113886779786,-0.6847340064590838,-0.9114573666546623
BRA,44.30406820591131,1.5505588280157643,42.42786047172517,2.1709206943937627,3.7910765059252385,3.7478052330483274,0.43861540015803524,0.7751513607004981
BTH,1.3237226794511208,0.011399494481056947,0.2870045332792119,0.015537791597402071,0.28044797896780277,-1.2482572679493111,-4.474186268331835,-4.1644800549906265
CA,2.5626405279525013,0.12494231170302568,0.9490172962497125,0.10855973683178342,0.9410381831374449,-0.05232825477463724,-2.079903154582474,-2.220454687631422
CCE,3.193008403742472,0.11103362241468502,2.494262160424204,0.3055330346370252,1.160963545656044,0.9139929581826576,-2.1979222188993486,-1.1856973731983547
COD,36.10095918494811,2.023979284650374,46.58942671085471,2.798355580354378,3.5863194352060224,3.8413736207702707,0.7050655165163081,1.0290319519266518
DEU,2.8748480673083208,0.07148960752395579,1.209241604622162,0.08229310021804745,1.055999826699279,0.1899933900647792,-2.638203189161714,-2.497468011775384
FIN,11.889884724520007,0.7108233372426301,7.645548761118831,0.8053730225492507,2.4756880154933714,2.0341236171998127,-0.3413313508790041,-0.2164497268431219
FRA,5.400233298673437,0.11469706155797846,3.4905438040916716,0.13179198465611666,1.68644215609503,1.2500575418673145,-2.1654608736755954,-2.0265304732082488
GBA,2.445743064558314,0.11288499678187668,1.3181352493876441,0.20001306384754947,0.8943489886397641,0.2762180479533552,-2.1813857061001816,-1.6093725953295617
GBR,3.4051169170393774,0.16416453910217302,1.7700839129597383,0.14656864885841864,1.225279275881106,0.5710269539138222,-1.8068860669057996,-1.920261367390148
IDN,51.3607126312648,2.178220740338339,45.36114354381165,1.7558721634871255,3.938873534504776,3.8146558695032113,0.7785083693928055,0.5629656927263993
IL,5.824425772451909,0.22636976903057535,3.173144007211539,0.3376284182226164,1.7620604147558707,1.1547228967623382,-1.4855854705857954,-1.0858093426033435
IND,3.0515783989262015,0.18424149043889881,1.2697079840989907,0.09041776978694946,1.1156589646029726,0.23878694025135305,-1.6915079338427519,-2.4033144624613443
JPN,4.344102939813134,0.2564550963348342,3.13685643311305,0.3734734025105016,1.4688192793612547,1.1432211624975857,-1.3608016927187212,-0.984908488429524
KOR,5.926693672190721,0.3995685887391006,3.5056960161748765,0.40577849046071907,1.779466498019875,1.2543890788538132,-0.9173698420564192,-0.9019478582670135
MYS,22.857061337436093,0.8933059247226458,27.068955130266463,2.169871483740641,3.129260099684983,3.2983875040732205,-0.11282617589664487,0.774667941715899
NOR,6.97780949361133,0.31110944327111095,3.6007209602516688,0.42440540870801,1.9427350413903741,1.281134092147933,-1.167610521083717,-0.8570661279596864
NY,4.911350105582583,0.2980204206312856,2.5862876902485823,0.2755920569746702,1.5915488745960302,0.9502235232913224,-1.210593269216164,-1.288833561104587
NZL,13.097434051780896,0.32727571726580296,9.498481723197575,0.6756205321953438,2.572416337111451,2.2511319672233583,-1.1169522912880865,-0.392123703457384
QTP,7.587652360997607,0.09744800658883224,8.573531229385404,0.3165006123269,2.026522236710873,2.1486796931781496,-2.3284363089706543,-1.1504301027176291
SGP,9.911468163163633,0.4552994007836396,8.083067415897052,0.8074114073682401,2.2936924870321524,2.0897714311718376,-0.786800052733548,-0.21392194214162671
TO,4.906482680161847,0.3780097964182315,2.7240483453643765,0.30778232047397,1.5905573266799575,1.0021191360608954,-0.9728351672480269,-1.1783624975831766
VAN,12.457890004567377,0.6486688752239236,10.596955003201844,1.175132083046466,2.5223541574919137,2.360566696000976,-0.43283290014556497,0.16138055238184296
WA,5.389178380384665,0.24444598319412933,3.492048989489866,0.31462960261304695,1.684392939235728,1.2504886669424848,-1.4087609221066875,-1.1563591967483282
YYN,5.372544252036112,0.20769045804969885,4.724609663932051,0.3509783692443207,1.6813015862686125,1.5527849467252137,-1.5717064901775444,-1.047030683499793
