placename,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
Mali,7939.740741,13040.74074,289.5925926,-3.740740741,17.14814815,10.67224331,7.99615786,1.368756511,0.182243023,0.008880577,-5.933975593,2.983150364,2.529256254,0.691754422,0.776354914,0.607680194,-0.399859535,1,1,1.531539313,1.35394861,1.317389608,1.350923711,4,4,4,4
Mauritania,7633.625,15734.625,349.4166667,-10.58333333,20.75,10.57808908,7.176475929,1.98158965,0.639505965,0.012364081,-5.542473157,4.862564184,4.11815294,0.763657279,1.363329483,1.189490712,-0.294431152,1,1,1.785757999,1.513899186,1.400936228,1.487791045,4,4,4,4
Mexico,3495.44186,11596.44186,257.4186047,-102.5813953,24.20930233,8.203556166,9.485845522,0.353035344,-1.368091702,0.001579742,-7.15365776,0.802318388,0.65332211,0.426943407,-0.404196787,-0.625616043,-0.971691292,1,1,1.020242372,0.811641522,1.057109434,0.908409981,3,3,3,3
Moldova,9428,1329,29,29,47,5.902577506,9.424232603,0.275720559,-1.288367394,8.16E-05,-9.413331568,0.3066568,0.246310249,0.171599297,-1.182026071,-1.401163363,-1.76259319,1,1,0.683364509,0.839529086,0.574895043,0.626319166,2,3,2,2
Mongolia,12776.625,4677.625,103.4166667,103.4166667,46.75,8.199030107,7.441570254,0.702584539,-0.413952934,0.002008546,-6.908779587,0.617286155,0.504872939,0.263283436,-0.550984272,-0.750584514,-1.389329337,1,1,0.956668712,1.145399264,1.109366436,1.103620164,3,3,3,3
Morocco,7850.666667,15951.66667,354.1111111,-5.888888889,32.33333333,5.542202129,8.256291648,0.309599308,-1.285543476,0.000160669,-8.981521855,0.347904986,0.294948369,0.178117295,-1.10434873,-1.273715222,-1.769348115,1,1,0.717006565,0.840516892,0.667043236,0.682597694,2,3,2,2
Mozambique,9670.666667,1571.666667,35.11111111,35.11111111,-17.66666667,12.33350862,9.043457956,0.489618573,-0.88949932,0.020656271,-4.233581571,2.526475164,2.035152609,1.378258561,0.871929854,0.659202474,0.30040198,1,1,1.57293282,0.979053138,1.680253693,1.379462875,4,3,4,4
Myanmar,12456.8,4357.8,96.6,96.6,20.6,10.47763464,8.375014759,0.560023241,-0.758208241,0.011053131,-5.18878683,2.107911205,1.714334592,1.039176239,0.633232782,0.428472978,-0.009516127,1,1,1.469553118,1.024978757,1.47641289,1.278628698,4,3,4,4
Namibia,8836.5625,737.5625,16.625,16.625,-22.125,12.49809538,7.799023734,1.391808653,0.118161154,0.03444001,-3.727890845,3.245509797,2.745398798,1.434185783,1.115152605,0.946756341,0.348713708,1,1,1.678272593,1.331532772,1.788168094,1.623609702,4,4,4,4
Nepal,11893.5,3794.5,84,84,28,7.994847828,12.6807681,0.155627083,-2.01506657,0.000845838,-8.018313621,0.661302258,0.504026671,0.276484392,-0.493861384,-0.783510908,-1.324633911,1,1,0.981408635,0.585329714,0.872591873,0.806828988,3,2,3,3
Netherlands,8441,342,7,7,53,-1.26240266,10.11063218,0.048615507,-3.023812723,2.90E-06,-12.7510859,0.066059372,0.042928566,0.035556473,-2.71720137,-3.14821779,-3.33663307,1,1,0.018480087,0.23247031,-0.13738173,-0.124858925,2,2,1,1
New Caledonia,15514,7415,165,165,-21,11.02229933,7.456512767,3.179595217,1.156753898,0.001671661,-6.393937641,5.184204599,4.055661744,2.125723128,1.645616426,1.400113866,0.75411204,1,1,1.908016474,1.694832514,1.219233707,1.478211018,4,4,4,4
New Zealand,15873.77778,7774.777778,173.2222222,173.2222222,-41.44444444,10.51482486,8.521055926,0.955452387,-0.108934612,0.002930259,-6.211277085,0.763374898,0.588634068,0.463394207,-0.318369046,-0.578911562,-0.804462201,1,1,1.057414366,1.252094673,1.25821347,1.249001924,3,4,4,4
Nicaragua,4250.666667,12351.66667,274.3333333,-85.66666667,12.33333333,12.05747799,9.040734527,0.762834773,-0.37396305,0.009370487,-5.014275122,1.80892322,1.420058093,1.035938975,0.521990971,0.280846445,-0.031255666,1,1,1.42137429,1.159387725,1.513653689,1.366107899,4,3,4,4
Niger,8523.148148,424.1481481,9.222222222,9.222222222,17.2962963,9.128647106,7.727259716,1.245736319,0.0506445,0.002896828,-6.891464612,2.691087645,2.292742595,0.534783363,0.596907511,0.428448022,-0.665264475,1,1,1.453820643,1.307915446,1.113061452,1.194420687,4,4,3,3
Nigeria,8461.842105,362.8421053,7.947368421,7.947368421,9.421052632,10.49812451,10.58717285,0.379811454,-0.983962743,0.001229213,-7.030923171,0.856702622,0.709453455,0.524585171,-0.20059643,-0.3861746,-0.700570552,1,1,1.108421686,0.946009833,1.083300995,0.995247155,3,3,3,3
North Korea,13864.66667,5765.666667,127.6666667,127.6666667,40.33333333,7.403903975,11.23011147,0.270798696,-1.427489907,0.000299394,-8.629734064,0.324592027,0.253273877,0.160551536,-1.202863367,-1.481094403,-1.887771304,1,1,0.674339876,0.790864031,0.742114751,0.698753337,2,2,2,2
Norway,8723.916667,624.9166667,13.16666667,13.16666667,63.83333333,9.228207826,7.695019329,1.033311652,-0.140429857,0.002362156,-6.44672096,0.587824834,0.461981334,0.255048552,-0.634141834,-0.882382119,-1.436110572,1,1,0.920653172,1.241077636,1.207969747,1.207837179,3,4,4,4
Oman,10623.14286,2524.142857,55.85714286,55.85714286,20.14285714,6.101807663,6.930653425,1.08007618,-0.320255873,0.001855614,-7.948573452,2.510487557,2.121920181,0.489227636,0.490335967,0.324304939,-0.916762443,1,1,1.407664507,1.178174496,0.887474425,1.004349096,4,3,3,3
Pakistan,11243.21053,3144.210526,69.52631579,69.52631579,30.05263158,4.220461453,11.06629066,0.177008603,-1.936128908,0.000151032,-9.951964934,0.278266134,0.22652501,0.13688642,-1.379971709,-1.590158261,-2.033937477,1,1,0.597634253,0.612942108,0.459950683,0.441630766,2,2,2,2
Panama,4549,12650,281,-79,9,17.67763296,11.89990067,0.774744197,-0.255222372,0.013752691,-4.286520729,2.85455372,2.231461904,1.228778369,1.048915516,0.802656933,0.20602048,1,1,1.64958531,1.200923214,1.668956476,1.485527775,4,4,4,4
Papua New Guinea,14591,6492,144.3333333,144.3333333,-7,14.6400441,8.172753051,2.34505055,0.772816778,0.066149873,-3.302437123,5.696615862,4.586092199,2.972530622,1.62157559,1.409587812,1.040989424,1,1,1.897604388,1.560531309,1.878959918,1.800179639,4,4,4,4
Paraguay,5466.5,13567.5,301.75,-58.25,-23.5,15.87139854,9.466846375,2.226664681,0.615921361,0.025419036,-3.956338318,6.324427528,5.199949914,2.879583599,1.704278453,1.503365139,0.960984865,1,1,1.933422998,1.505649292,1.739417403,1.691367562,4,4,4,4
Peru,4742.642857,12843.64286,285.5,-74.5,-8.714285714,12.5557138,7.524911617,2.395413697,0.478906335,0.019922893,-4.107502478,4.923981919,4.027148843,2.636583409,1.330758414,1.108841564,0.676059328,1,1,1.771651469,1.457721436,1.707158971,1.642450026,4,4,4,4
Philippines,13622.8,5523.8,122.6,122.6,12.6,15.59245804,13.55656361,0.823357153,-0.576649166,0.011271895,-5.622489501,2.369869144,1.862387755,1.161018561,0.517181679,0.273201245,-0.052684088,1,1,1.419291385,1.088488122,1.38386074,1.253976314,4,3,4,4
Poland,8980.5,881.5,19,19,52,3.419230744,10.82398868,0.153161951,-2.046603084,3.95E-05,-10.57041542,0.137416098,0.103687721,0.075470892,-2.051289775,-2.359977422,-2.646863782,1,1,0.306886399,0.574298241,0.327973349,0.332828513,2,2,2,2
Portugal,7774.333333,15875.33333,352.3333333,-7.666666667,39.66666667,7.190240707,11.0396936,0.180033202,-1.715415487,0.000183319,-8.614911831,0.303650726,0.243530157,0.181864454,-1.191897423,-1.412534861,-1.705208827,1,1,0.679089226,0.690147663,0.745277815,0.65164887,2,2,2,2
