NAME_1,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,SnSv_pred_linear,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER
Alabama,4201.0,12302.0,273.0,-87.0,33.0,14.261607216511024,15.544801821099695,0.9174518517922223,0.3089714081595054,-1.174506536593715,0.0006347904321899,-7.362215641590225,0.7261069971694825,0.5701171915324824,0.4295229082251046,-0.32005789599523626,-0.5619133401063624,-0.8450802020183654,1.0,1.0,1.0566829252444632,0.8793576134995185,1.0126031820846457
Alaska,1275.1969696969697,9376.19696969697,207.63636363636363,-152.36363636363637,64.12121212121212,11.265584032215829,7.360564636705074,1.5371993778672355,2.6605977316344287,0.8798769700685752,0.006830766572417446,-5.330414641688184,1.074909718499451,0.840141032609831,0.44760249000165614,0.007264654849309897,-0.24186418766417223,-0.8341740141815265,1.0,1.0,1.1984463220152362,1.5979809641299876,1.4461895154637414
Arizona,3077.0,11178.0,248.0,-112.0,35.0,6.202846505706028,8.830444680167382,0.7139004775350407,0.1927917329651924,-1.706688747899399,0.0004124122243212485,-8.139691695525672,0.3242369003460539,0.26966097730596733,0.19990564639073172,-1.163897613362088,-1.3517941918398808,-1.6311182613817445,1.0,1.0,0.6912159436528797,0.6932002759847902,0.8466897921748215
Arkansas,3977.0,12078.0,268.0,-92.0,35.0,13.383564259157591,13.372616311233992,1.003098452646125,0.39485216568095316,-0.9350551693961766,0.0009369309882624499,-7.022317555372846,0.7742236925382104,0.6220007928219252,0.4289686497694618,-0.2653415276228876,-0.4848026847252618,-0.8536002403305313,1.0,1.0,1.0803805843865275,0.9631177017452175,1.0851374336834345
California,2754.7272727272725,10855.727272727272,240.8181818181818,-119.18181818181819,36.81818181818182,5.407576469312675,11.157074542481679,0.5150597663060787,0.17011535530553337,-1.976739295215493,0.00025110672816500195,-9.304058190593457,0.29855857520000223,0.22611046027506634,0.17227452690847997,-1.3684740663717312,-1.6766861529853652,-1.9363832300968526,1.0,1.0,0.6026138818544032,0.5987365945336206,0.5982139821273562
Colorado,3344.818181818182,11445.818181818182,253.9090909090909,-106.0909090909091,38.81818181818182,5.985068422421123,9.286924759582142,0.6551781390113515,0.14384301606277008,-2.01881092274617,0.0003963978751065066,-8.15348961052257,0.2987487729778957,0.23723832834349687,0.18711476809964578,-1.259763966367147,-1.4992712696771682,-1.719551354700698,1.0,1.0,0.6496962261663887,0.5840199392233898,0.8437453171144835
Florida,4379.0,12480.0,277.0,-83.0,29.0,12.122925404794517,12.063592005763718,1.009350700738271,0.3519317618338243,-1.0986895182811758,0.0013304964380463,-6.747354463449567,0.8411262461921937,0.6701527537669524,0.4518112474440084,-0.22322206417034127,-0.45435398019171586,-0.8242680322811496,1.0,1.0,1.0986225240078253,0.9058784065052448,1.1438145574998622
Georgia,4335.5,12436.5,276.0,-84.0,32.0,13.923579625494236,14.254440451124376,0.9985715871392089,0.3885449291415694,-1.002180438299252,0.0011969270670672,-6.975724151664246,0.8720335240106534,0.6933358624284344,0.5091201727737719,-0.18027290616324293,-0.412776008711786,-0.7085606487316222,1.0,1.0,1.1172238043406995,0.9396372826829216,1.0950804660348497
Idaho,2928.6,11029.6,244.6,-115.4,44.2,8.330197387629232,9.458990270743636,0.8888165670062478,0.2955864012793526,-1.2531749173168802,0.00076475441892578,-7.419492398898218,0.4723594086941497,0.3714978217718623,0.2887826732208441,-0.8146462344980702,-1.0524163986180752,-1.2920716403118004,1.0,1.0,0.8424767158388858,0.8518394139225554,1.00038032207512
Illinois,4114.5,12215.5,271.0,-89.0,40.0,8.848481809863008,13.528753334207776,0.6528341604346779,0.2189617413573391,-1.535188390737211,0.00015987141267705238,-8.84709889191656,0.2967637233369752,0.23295903432519577,0.16639235865922136,-1.2379161523633497,-1.484585690759927,-1.8127665255008487,1.0,1.0,0.6591585144114332,0.7531911009201236,0.695729096465006
